input,output
"Il primo pensiero che vorrei condividere, nel chiedere la vostra fiducia, riguarda la nostra responsabilità nazionale.","Lo primo pensar che vorrei condividere, nel dimandar vostra fiducia, è la nostra responsabilità nazionale."
"Il principale dovere cui siamo chiamati, tutti, io per primo come Presidente del Consiglio, è di combattere con ogni mezzo la pandemia e di salvaguardare le vite dei nostri concittadini.","Lo maggior dovere a cui tutti siamo chiamati, tutti, primo presidente, è di combatter la pandemia e di salvar ne la vita nostra."
Una trincea dove combattiamo tutti insieme.,Trincea dove tutti insieme combattiamo.
Il virus è nemico di tutti.,Lo virus è nemico di tutti.
Ed è nel commosso ricordo di chi non c’è più che cresce il nostro impegno.,"Ed è ne la reverenza commossa di chi non c’è più, che cresce l’impegno nostro."
"Prima di illustrarvi il mio programma, vorrei rivolgere un altro pensiero, partecipato e solidale, a tutti coloro che soffrono per la crisi economica che la pandemia ha scatenato, a coloro che lavorano nelle attività più colpite o fermate per motivi sanitari.","Prima d’innaugurarvi il mio programma, vorrei rivolgere un’altra mente, partecipata e solidale, a tutti coloro che soffrono per lo fervor che la pandemia ha sospinto, alle persone più colpite o fermate per motivi di salute."
"Conosciamo le loro ragioni, siamo consci del loro enorme sacrificio e li ringraziamo.","Le lor cagion conosciamo, ne siamo consci del loro grande sacrificio e grati ringraziamo."
"Ci impegniamo a fare di tutto perché possano tornare, nel più breve tempo possibile, nel riconoscimento dei loro diritti, alla normalità delle loro occupazioni.","Tutto s’aiuta perché riedan, il più tosto che si possan tornare a la normalità de le loro opine."
"Ci impegniamo a informare i cittadini con sufficiente anticipo, per quanto compatibile con la rapida evoluzione della pandemia, di ogni cambiamento nelle regole.","Ad ogne tempo informiamo i cittadini, quanto si convien con l’espandersi de la pandemia, di ogni mutamento in atto."
Il Governo farà le riforme ma affronterà anche l’emergenza.,"Il governo farà le riforme, ma a la ‘nsurrezione s’accorse."
"C’era una volta, nelle terre lontane lontane, un piccolo paesino isolato dal resto del mondo.","V’era una volta, ne le lontane terre, un piccolo paesino isolato dal resto del mondo."
"Gli abitanti del paesino erano molto legati alle loro tradizioni, proprio perché non avevano contatti con persone di altri posti.","Li abitanti del paese eran molto legati a la loro tradizione, che non avea contatti con gente d’altre parti."
"Il Conte del paese era l’unico nobile che avevano a disposizione, e per questo motivo era stato eletto sindaco.","Il conte del paese era l’unico che avea a disposizione, e per questo fatto fu eletto sindaco."
"Purtroppo il Conte qualche anno prima, aveva perso la moglie, e da quando era rimasto solo era diventato una persona molto rigida e severa.","Lo conte qualche anno prima, la moglie perduta, e poi ch’e’ rimase solo era diventato molto duro."
"Gli abitanti del paese dovevano rispettare tutte le sue decisioni senza fiatare, e guai a chi si comportava diversamente!","Li abitanti del paese dovean rispettar tutte sue decisioni sanza fiato, e guai a chi si comportava diversamente!"
Ma la cosa più assurda era che in questo paese erano state vietate le pasticcerie!,Ma la cosa più assurda era ch’eran le pasticcerie chiuse in questo paese!
Nemmeno in casa propria si potevano fare dolci!,Né a casa propria si potea far dolci!
"Lo aveva proibito il conte dopo la scomparsa della moglie, che era morta per una indigestione di pasticcini alla crema.","Lo ‘ndulgea il conte dopo la scomparsa de la moglie, che per indigestione d’i pasticcini era morta."
"Quella terribile vicenda gli aveva fatto perdere la ragione, e gli abitanti non avevano avuto la forza ed il coraggio di ribellarsi alla sua autorità.","Quella tremenda vertute li tolse la cagion, e non avea la forza né ‘l coraggio di ribellarsi al suo potere."
"Ma un giorno, mentre soffiava fortissimo il vento, giunse in paese un pellegrino, che cercava un posto dove riposarsi per qualche giorno.","Ma un giorno, mentre che ‘l vento era forte, giunse in paese un pellegrino, che cercava un loco ove riposarsi un poco."
"Il Conte non amava gli stranieri, aveva paura che potessero agitare l’apparente tranquillità della gente del paese.","Non amava li stranieri, temea che potesser turbar la quiete apparente del paese."
"Io l’esame di Stato lo abolirei, perché un esame che passano praticamente tutti non è un esame.","Io l’esame di stato abolirei, ché ‘l passar quasi tutti non è esame."
"«Ma – si obietta – è comunque una prova, una soglia che si supera, un rito di passaggio, nonché un buon modo per convincere i ragazzi più svogliati a studiare un po’ più del solito (“Quest’anno c’è la maturità!”)».","«ma è pur prova, soglia che si supera, rito di passaggio, e buon modo per convincer li più svogliati a studiar più del solito (“quest’anno c’è la maturità!”)»."
"Sì, ma dobbiamo smettere di prendere le cose non per il loro valore in sé ma per i loro effetti collaterali o il loro significato simbolico: la condanna troppo severa che però dà l’esempio agli altri aspiranti delinquenti, le mascherine sulla faccia anche se non servono perché così uno sta attento, gli esami che si superano in ogni caso ma intanto mettono addosso un pochino di virtuosa tensione.","Sì, ma smettiamola di prender le cose non per lor valeri o per loro ‘ndulto: la condanna troppo severa, che però dà esempio a tutti, e ne la faccia è un poco di buona tensione."
Nessun angolo della vita associata senza la sua buona ricompensa.,Nessun ospizio de la vita associata sanza sua ricompensa.
Non va bene.,Non va bene.
Un esame dovrebbe accertare il possesso di determinate conoscenze o competenze o abilità.,L’esame dovrebbe esser d’alcuna conoscenza o di certe abilità.
Le accerta l’attuale esame di Stato?,L’orale ond’ella s’adopra?
"No, quindi meglio prenderne atto, risparmiare i soldi e la fatica, concentrarsi su cose più utili (per esempio non passare dei mesi a preparare per l’esame) e consegnare all’università o alla vita o a nessuno il compito di fare filtro.","Or conviene prenderne atto, risparmiar li soldi e la fatica, concentrarsi su cose più utilmente (per esempio non passar più mesi a preparar per la prova), non lasciarle in sùbito, né lasciar cagion d’indugio alcuno."
"Ma visto che l’esame rimarrà, prove orali o prove scritte?","Ma tosto che l’esame resterà, orali o scritti?"
"Credo che ora sia indubbiamente più difficile, ma non è impossibile.","Io credo ch’or sia indubbiamente più duro, ma non è arduo."
Bisogna volerlo fare e credere nei propri principi senza preoccuparsi solo del giudizio della gente.,Voler lo si vuol fare e creder sanza cura di giudicar la gente.
Non bisogna riflettere troppo.,Troppo s’ammira.
Per me è stato un lavoro vitale che è stato apprezzato.,Per me è stato un lavoro vitale che m’è piaciuto.
"È un po’ come un uccello che riesce ad entrare in una finestra secondi prima che questa si chiuda, scoprendo che qualche penna della coda è rimasta incastrata.","È un po’ come l’uccel che s’innalza pria ch’ella si chiuda, scoprendo che qualche penna ne la coda era tolta."
Mi sembrava una buona idea all’epoca.,A quell’epoca mi parea buona idea.
"Leo scherzava sempre su questa cosa, tutti si dispiacevano per lui.","Leo sempre su questa cosa scherzava, e tutti si piangea per lui."
Non ho mai creato un mondo in cui vorrei abitare.,Io non m’è fatto mondo ond’i’ vorrei vivere.
"Non vorrei poterlo uccidere, io non vorrei uccidere nessuno, scusate.","Non veggio ucciderlo, io non vo’ uccidere alcun, scusate."
"Circa tre anni fa ho iniziato a pensarci e mi sono detto: ""Però, è un genere divertente"".","Circa tre anni fa cominciai a pensar, e dissi: ""però è buffo""."
Palazzo Te è una villa rinascimentale collocata nell'area meridionale della città di Mantova.,Palazzo te è una villa rinascimentale situata in su la riva sinistra di mantova.
"Le prime testimonianze in merito alla presenza della fabbrica del Te si hanno nel 1526, quando viene citato un edificio in costruzione che sorge vicino alla città.","Le prime testimonianze del te si hanno nel 1526, quando viene citato un ospizio che siede presso a la città."
"Morto il padre e divenuto signore di Mantova, Federico II, suo figlio, decise di trasformare l'isoletta nel luogo dello svago, del riposo e dei festosi ricevimenti assieme agli ospiti più illustri e dove poter sottrarsi ai doveri istituzionali assieme alla sua amante Isabella Boschetti.","Morto ’l padre e divenuto duca di mantova, federico ii, suo figlio, decise di trasmutar l’isoletta in luogo d’ospitalitade, riposo, convien dove poter scampare al dovere con la sua amante isabella boschetti."
"In occasione della visita di Carlo V, Giulio Romano ebbe l’incarico di riunire il Palazzo con il castello mediante una nuova serie di sale, gallerie, scaloni, logge e cortili.","A la visita di carlo v, giulio romano ebbe incarico di riunir lo palazzo con il castello per una nuova serie di sale, scalee, logge e cortili."
Altri pittori collaborarono agli ambienti del palazzo.,Al palazzo fuor altri pittori.
"La famiglia diede inoltre i natali a un santo, a dieci cardinali e a dodici vescovi della Chiesa cattolica.","Diede i natali un santo, un cardinale e dodici cardinali a la chiesa cattolica."
"La loro grande fama è anche legata al fatto di aver promosso, per diverse generazioni, la vita artistica e culturale al più alto livello.","La fama loro grande è ne l’aver condotta, per diverse generazioni, la vita al più alto grado."
"La collezione artistica dei Gonzaga (detta la ""Celeste Galeria"") era celeberrima, comprendeva infatti opere degli artisti più rinomati del Rinascimento e dell'Età Barocca e venne venduta in buona parte al re d'Inghilterra Carlo I quando i sovrani di Mantova si trovarono in difficoltà economiche.","L’arte gonzaga (detta ""celeste galeria"") era indimenticabile, e gran parte fu venduta al re d’inghilterra, quando i sovrani di mantova s’arrestaro."
