italian,dante,model
"Il bene che allieta questa corte è principio e fine di tutto l'affetto che l'amore mi insegna, in modo più o meno intenso","Lo ben che fa contenta questa corte, alfa e o è di quanta scrittura mi legge amore o lievemente o forte",Lo bene ch’alieta questa corte è principio e fine d’ogne amor che più o meno m’insegna
"Non è la vera felicità, non è la buona essenza che è frutto e radice di ogni bene","Non è felicità, non è la buona essenza, d’ogne ben frutto e radice","Non è vera felicità, nè buona essenza ch’è frutto e radice d’ogne bene"
Ti ho chiamato almeno tre volte,Almen trevoci t’ho messe,Tre volte t’ho chiamato
E dimmi perché in questo cielo non si sente la dolce sinfonia del paradiso che suona così devotamente negli altri inferiori,"E di’ perché si tace in questa rota la dolce sinfonia di paradiso, che giù per l’altre suona sì divota",E dimmi perché in questo ciel non si sente la dolce sinfonia de l’altre alte
Li giudica e li destina a seconda di come attorcigli la coda,Giudica e manda secondo ch’avvinghia,"Li giudica, e drizza a seconda ch’allumi la coda"
"Vedi la luce che filtra attraverso il buio e già biancheggia, e io devo separarmi da voi prima che io appaia all'angelo, che è lì","Vedi l’albor che per lo fummo raia già biancheggiare, e me convien partirmi (l’angelo è ivi) prima ch’io li paia","Vedi la luce che vien per lo buio e già biancheggia, poi ch’io a voi appaia"
"Affinché tu ti liberi da questi timori, ti dirò perché sono venuto qui e quello che sentii nel primo momento che provai per te dolore","Da questa tema acciò che tu ti solve, dirotti perch’io venni e quel ch’io ’ntesi nel primo punto che di te mi dolve","Per ch’io ti liberi da questi timori, dirò perché son venuto qui, e quel che senti’ ne l’ultimo piè che provai"
Perciò risposi così prontamente,Però fu la risposta così piena,Ond’io rispuosi sì tardi
E lo possono fare in quanto la loro visione divina è la più elevata,E posson quanto a veder son soblimi,"E lo possono fare, ché la loro visione è la più alta"
"Quanto poco rimane verde sul ramo, se non è seguita da età decadenti","Com’poco verde in su la cima dura, se non è giunta da l’etati grosse","Quanto poco s’apparve su per lo ramo, se non è d’età rea"
"E io, che avevo la testa piena di dubbi, dissi:","E io ch’avea d’error la testa cinta, dissi:","E io, ch’avea la testa piena di dubbi, dissi:"
E sentii che diceva:,E senti’ dir:,E rispuos’io:
Questo io dissi rivolto alla luce che prima mi aveva parlato,Questo diss’io diritto alla lumera che pria m’avea parlato,Questo io dissi a la luce ch’aprio m’avea parlato
"Vedo bene che il nostro intelletto non si sazia mai, se non è illuminato da quel vero al di fuori del quale nessun'altra verità può sussistere","Io veggio ben che già mai non si sazia nostro intelletto, se ‘l ver non lo illustra di fuor dal qual nessun vero si spazia","Io veggio ben che ’l nostro intelletto non si sazia mai, se non è illuminato da quel vero al di là del quale null’altra verità può sussistere"
"Qui vengono raccolti entrambi insieme, l'uno predisposto a subire, l'altro ad agire grazie al luogo perfetto da cui vengono","Ivi s’accoglie l’uno e l’altro insieme, l’un disposto a patire, e l’altro a fare per lo perfetto loco onde si preme","Quivi vienen raccolti l’uno a subire, e ’l vòlto ch’ad agire s’incroci"
"Ma chiunque voglia, se può, raffiguri l'atto dell'addormentarsi",Ma qual vuol sia che l’assonnar ben finga,"Ma chiunque voglia, se può, raffiguri l’atto d’addormentarsi"
"Dal momento che il tuo intelletto non è ancora sicuro dietro la verità, ma ti fa girare a vuoto come solitamente accade in questi casi:ciò che tu vedi sono creature reali, relegate qui per inadempienza di voto","Poi sopra ‘l vero ancor lo piè non fida, ma te rivolve, come suole, a vòto: vere sustanze son ciò che tu vedi, qui rilegate per manco di voto","Ché ’l tuo intelletto non t’è ancora sodisfatto dietro a la verità, ma lo ‘ntelletto, come tu vedi, si gira:ciò ch’io vedi son creature reali, relegate qui per ogne voto"
"Tutti dicevano 'gloria a dio nell'alto dei cieli', almeno a quanto potei capire dalle anime più vicine, per cui intesi il grido collettivo","'gloria inexcelsis' tutti 'deo' dicean, per quel ch’io da’ vicin compresi, onde intender lo grido si poteo","Tutti dicean ‘gloria a dio nell’alto de’ cieli’, ben ch’io potei veder da l’altre parti più vicine, per che ’l grido d’ogne parte"
Quindi il fulmine spazzerà via la nebbia e ogni guelfo bianco sarà ferito,"Ond’ei repente spezzerà la nebbia, sì ch’ogne bianco ne sarà feruto","Ond’io li spazzerà via la nebbia, e ogni guelfo bianco sarà ferito"
"E poi gridavano di mogli e mariti che furono casti, come il vincolo matrimoniale impone loro",Indi donne gridavano e mariti che fuor casti come virtute e matrimonio imponne,"E poi gridavan d’anime, che fuor casti, com’il vincolo matrimoniale li impone"
"Il tuo pensiero è vano: la vita dissennata che li fece peccare, ora li rende del tutto irriconoscibili",Vano pensiero aduni: la sconoscente vita che i fé sozzi ad ogne conoscenza or li fa bruni,"Il tuo pensiero è vano: la vita sanza peccare, ora li rende disconoscibili"
"Guai a voi, anime malvagie","Guai a voi, anime prave","Guai a voi, anime malvagie"
"Ma colei dalla quale aspetto che mi suggerisca quando parlare e quando tacere, non fa nulla","Ma quella ond’io aspetto il come e ‘l quando del dire e del tacer, si sta","Ma colei ch’io sappia quando parlar e quando tacere, non fa nulla"
"Quindi non attese la mia domanda, ma disse:","E però non attese mia dimanda, ma disse:","Però non sofferse la domanda, ma disse:"
Egli cominciò:,Cominciò elli:,Ed elli cominciò:
"Ma la provvidenza divina, che con scipione difese a roma la gloria del mondo, interverrà presto, così come io prevedo","Ma l’alta provedenza, che con scipio difese a roma la gloria del mondo, soccorrà tosto, sì com’io concipio","Ma provvidenza divina, che con scipione a roma la gloria del mondo difese, presto sarà, sì com’io temo"
E con una tempesta impetuosa e tremenda si combatterà nel territorio pistoiese,E con tempesta impetuosa e agra sovra campo picen fia combattuto,E con impetuosa tempesta s’incrocerà nel territorio pistoiese
"E la miseria dell'avaro re mida, che fu la conseguenza della sua richiesta avida e per la quale bisogna sempre sorridere","E la miseria de l’avar omida, che seguì a la sua dimanda gorda, per la qual sempre convien che si rida","E la miseria de l’avaro re mida, che fu il cagion de la sua richiesta avida, per la qual sempre sorridere"
Non so se avete mai sentito il suo nome,Non so se ‘l nome suo già mai fu vosco,Non so se voi aveste mai il suo nome
Allora mi disse:,Ond’elli a me:,Ond’elli:
"Quelli che nell'antichità scrissero versi sull'età dell'oro e il suo stato felice, forse sognarono in parnaso proprio questo luogo","Quelli ch’anticamente poetaro l’età de l’oro e suo stato felice, forse in parnaso esto loco sognaro","Quelli che ne l’età d’oro scrissero versi ad etterno oro, forse sognaro in parnaso"
"Poi mi tirò fuori e mi affidò, bagnato, alla danza delle quattro donne","Indi mi tolse, e bagnato m’offerse dentro a la danza de le quattro belle","Poi mi tirò fuori, e m’apparve, bagnato, alla danza de le quattro donne"
"E lucifero le sbatteva, producendo da sé tre venti:a causa di essi, tutto il lago di cocito si ghiacciava","E quelle svolazzava, sì che tre venti si movean da ello: quindi cocito tutto s’aggelava","E lucifero le sbattea, producendo da sé tre venti: per essi, tutto ’l lago di cocito si ghiacciava"
Diceva:,Dicea:,Disse:
"Non erano piumate, ma sembravano quelle di un pipistrello","Non avean penne, ma di vispistrello era lor modo","Non eran piumate, ma parean quelle di un pipistrello"
Se vuoi salvarti da questo luogo selvaggio,Se vuo’ campar d’esto loco selvaggio,Se vuo’ salvar da questa selva
"Io volsi lo sguardo e il passo non meno rapidamente dietro quei due saggi, che parlavano in modo tale da non farmi sentire alcuna fatica nel procedere","Io volsi ‘l viso, e ‘l passo non men tosto, appresso i savi, che parlavan sìe, che l’andar mi facean di nullo costo","Io volsi li occhi e ’l passo non più tardi dietro a quei due saggi, che parlavano sì, ch’i’ non mi sentia più fatica"
"E colei che vedeva i pensieri dubbiosi nella mia mente, disse:","E quella che vedea i pensier dubi ne la mia mente, disse:","E quella che vedeva i pensieri dubbiosi ne la mia mente, disse:"
"Lì il pianto stesso non li lascia piangere, e il dolore che trova un impedimento sugli occhi torna indietro a far crescere l'angoscia","Lo pianto stesso lì pianger non lascia, e ’l duol che truova in su li occhi rintoppo, si volge in entro a far crescer l’ambascia","Lì il pianto stesso non li lascia piangere, e ’l dolore che trova impedimento ond’elli s’incrocia"
"Come una colonna militare opera una conversione sotto gli scudi, per salvarsi, e si gira con le insegne, prima che tutta possa invertire la marcia","Come sotto li scudi per salvarsi volgesi schiera, e sé gira col segno, prima che possa tutta in sé mutarsi","Come colonna rea, per salvarsi, e gira con le insegne, prima che ’l marciar s’inverta"
E questo cielo risplende della mia luce come io risplendetti della sua,"E questo cielo di me s’imprenta, com’io fe’ di lui",E questo cielo risplende de la luce mia come io risplenda di lei
"Tu giungerai all'approdo per un'altra via, per altri porti, non certo qui per passare","Per altra via, per altri porti verrai a piaggia, non qui, per passare","Tu venirai a l’altra via, per altri porti, non s’io qui per passare"
"Allora mi voltai, come chi si attarda a vedere ciò che deve sfuggire e cui la paura toglie subito gagliardia, e che mentre osserva non esita comunque a scappare: e vidi dietro di noi un diavolo nero che veniva correndo su per il ponte","Allor mi volsi come l’uom cui tarda di veder quel che li convien fuggire e cui paura sùbita sgagliarda, che, per veder, non indugia ’l partire: e vidi dietro a noi un diavol nero correndo su per lo scoglio venire","Ond’io mi volsi, come chi s’attarda a veder ciò ch’ogne fugge, e che per lo piè del ponte c’ha paura: vidi dietro di noi un gagliardia che correva su per la riva"
"O toscano, che sei venuto nella compagnia dei tristi ipocriti, non disdegnare di dirci chi sei","O tosco, ch’al collegio de l’ipocriti tristi se’ venuto, dir chi tu se’ non avere in dispregio","O toscano, che se’ venuto a la compagnia dei tristi ipocriti, non disdegnar di dirci chi sei"
"Di fronte a pietro vedi che siede sant'anna, tanto felice di contemplare la figlia maria che non ne distoglie lo sguardo neppure mentre canta 'osanna'","Di contr’a pietro vedi sedere anna, tanto contenta di mirar sua figlia, che non move occhio per cantare osanna","Vedi dinanzi a pietro che siede sant’anna, tanto felice di contemplar la figlia, che non distoglie li occhi per cantar ‘osanna’"
"E tu, figliolo, che tornerai sulla terra col tuo corpo mortale, apri la bocca e non nascondere ciò che io non ti nascondo","E tu, figliuol, che per lo mortal pondo ancor giù tornerai, apri la bocca, e non asconder quel ch’io non ascondo","E tu, figliolo, che tornerai a la terra col tuo corpo mortal, apri la bocca, non celar ciò ch’io non ti nascondo"
"Se rifletti bene su questa affermazione e ripensi a quei dannati che sono puniti fuori da questa città, vedrai bene perché sono separati da questi peccatori e perché sono meno puniti dalla giustizia divina","Se tu riguardi ben questa sentenza, e rechiti a la mente chi son quelli che sù di fuor sostegnon penitenza,  tu vedrai ben perché da questi felli sien dipartiti, e perché men crucciata la divina vendetta li martelli","Se rifletti bene su questa affermazione e ripensi a quei dannati che ’n questa città sono puniti, vedrai ben, perché sanza giustizia ti riede"
"Così io vidi scolpito il pavimento della cornice che sporge dal monte, ma in modo più raffinato perché era opera di dio","Sì vid’io lì, ma di miglior sembianza secondo l’artificio, figurato quanto per via di fuor del monte avanza","Così vidi io scolpito lo pavimento de la cornice che dal monte si sporge, più raffinato, perché era opera di dio"
Beatrice iniziò:,Cominciò beatrice:,Beatrice cominciò:
"E custodisci il denaro preso con l'inganno, che ti rese ardito contro carlo d'angiò",E guarda ben la mal tolta moneta ch’esser ti fece contra carlo ardito,"E custodisci il denaro preso con l’inganno, che ti rese ardito contro carlo d’angiò"
